start,end,location_idx,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,x_mean,y_mean,z_mean,target_vector
32.0,33.0,5,221.962,65.664,26.451,2.863,462.808,402.987,2113.571,204.21,27.298,47.872,83.214,165.286,8.059,5.229,629.532,-1218.729,60.0,70.961,45.294,0.688,0.398,0.112,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33.0,34.0,5,142.108,75.313,20.618,5.949,-118.244,306.313,1952.324,138.665,44.051,61.594,85.857,186.571,4.051,4.671,583.248,-1272.448,60.0,29.228,18.308,-0.062,0.328,0.099,"[0.0, 0.0, 0.1, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34.0,35.0,5,117.906,74.103,1.369,8.453,-273.546,297.576,1853.891,7.109,51.256,37.12,89.733,191.067,2.502,4.516,574.181,-1238.335,60.0,19.859,26.542,-1.105,0.104,-0.007,"[0.0, 0.0, 0.85, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35.0,36.0,5,123.778,75.294,1.422,4.384,-235.611,290.829,1855.077,8.818,28.771,13.882,93.593,189.593,5.833,0.913,598.839,-1229.711,60.0,37.144,11.651,-0.635,0.19,0.029,"[0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
36.0,37.0,5,128.689,69.09,1.161,0.829,-208.964,339.876,1903.779,6.105,7.066,21.724,95.16,189.4,0.784,0.8,626.149,-1260.814,60.0,8.861,18.141,-0.539,0.465,0.204,"[0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
37.0,38.0,5,124.524,68.945,2.843,1.202,-243.75,350.664,1958.729,20.546,7.887,10.233,97.214,190.5,1.235,0.866,657.836,-1304.953,60.0,10.256,10.05,0.789,-0.384,0.527,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
38.0,39.0,5,138.287,64.805,14.773,2.698,-150.935,386.185,1994.715,101.963,21.425,21.441,105.867,183.933,8.176,5.949,735.877,-1282.166,60.0,61.86,38.22,0.839,-0.34,0.463,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1]"
39.0,40.0,5,202.683,66.5,22.138,4.547,289.447,366.393,1955.917,144.065,25.285,47.465,93.846,181.769,10.886,4.37,655.184,-1242.632,60.0,71.187,52.845,0.899,-0.233,0.365,"[0.0, 0.0, 0.0, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45]"
40.0,41.0,5,275.159,59.678,14.077,3.164,836.158,434.686,2055.386,151.949,36.134,135.986,60.103,170.793,22.6,7.69,447.159,-1221.863,60.0,129.943,31.239,0.874,0.35,0.093,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41.0,42.0,5,299.956,111.638,3.638,30.557,1180.457,65.178,2404.052,53.843,253.104,50.642,17.786,87.357,4.938,36.836,178.213,-729.399,60.0,37.247,288.137,0.683,0.346,0.443,"[0.0, 0.0, 0.0, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
42.0,43.0,5,302.342,142.262,0.589,7.01,1216.885,-190.504,2437.959,6.04,60.601,12.349,14.548,43.71,1.662,15.379,153.768,-377.029,60.0,14.052,128.581,-0.052,-0.372,0.862,"[0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6]"
43.0,44.0,5,295.386,120.587,6.768,42.405,1073.083,-17.592,2256.205,94.997,335.222,100.927,34.286,94.0,24.636,68.443,291.525,-723.703,60.0,174.579,505.198,-0.12,-0.44,0.645,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
44.0,45.0,5,235.577,66.166,32.936,4.15,527.596,377.706,2002.832,226.601,25.063,37.218,82.727,173.636,5.302,5.131,595.983,-1214.706,60.0,41.228,55.808,-1.193,0.616,0.031,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
45.0,46.0,5,144.851,63.314,32.87,1.953,-125.237,413.705,2077.435,265.789,39.631,129.776,86.333,173.889,19.641,9.574,630.654,-1257.135,60.0,183.408,4.434,0.61,0.267,0.316,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
46.0,47.0,5,57.894,47.837,5.636,2.412,-874.047,617.413,2438.082,67.934,34.688,61.41,83.154,148.385,10.967,0.923,685.239,-1260.502,60.0,78.196,25.732,0.539,0.431,0.336,"[0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
47.0,48.0,5,50.462,45.416,2.002,0.9,-955.244,650.663,2487.596,7.988,16.201,44.154,76.8,147.0,2.151,0.0,645.395,-1274.205,60.0,12.742,22.76,0.3,0.511,0.545,"[0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.95, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
48.0,49.0,5,50.268,46.408,1.403,1.294,-968.55,649.623,2517.403,8.377,13.346,33.916,81.069,147.0,0.365,0.0,692.181,-1289.571,60.0,8.769,17.483,0.707,0.062,0.656,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49.0,50.0,5,50.402,46.36,1.523,1.159,-969.476,651.32,2522.363,20.145,10.564,25.507,81.533,147.0,1.147,0.0,697.445,-1292.127,60.0,10.032,13.148,0.605,-0.003,0.832,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50.0,51.0,5,53.238,47.679,1.295,1.055,-979.086,663.226,2615.374,14.11,10.644,34.38,76.583,147.0,1.73,0.0,678.132,-1340.073,60.0,8.702,17.722,0.654,-0.25,0.651,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51.0,52.0,5,55.264,48.908,0.905,2.383,-929.287,631.22,2530.147,24.742,35.691,60.888,75.933,147.0,3.492,0.0,650.71,-1296.14,60.0,35.82,31.386,0.651,-0.172,0.668,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52.0,53.0,5,73.427,52.409,8.2,1.558,-755.489,590.43,2491.452,62.087,12.314,35.205,63.276,150.31,9.537,4.145,534.236,-1305.772,60.0,74.482,50.076,-0.886,0.441,0.558,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
53.0,54.0,5,86.496,53.521,2.038,1.851,-611.592,553.073,2370.886,35.326,30.61,73.163,63.6,158.2,6.307,8.923,512.532,-1307.063,60.0,39.196,60.57,-0.963,0.247,0.153,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9]"
54.0,55.0,5,78.458,65.162,4.629,3.906,-605.761,409.163,2122.441,17.677,44.175,75.418,94.44,182.68,10.636,6.491,683.7,-1354.1,60.0,57.545,36.956,-0.912,0.205,0.15,"[0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45]"
55.0,56.0,5,91.288,71.442,8.197,1.219,-471.278,332.393,1951.468,65.032,13.413,37.279,87.667,197.0,6.394,0.0,587.128,-1345.26,60.0,53.906,25.753,-0.94,0.223,0.105,"[0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
56.0,57.0,5,108.889,63.085,1.899,1.654,-358.13,398.913,1998.487,11.801,13.394,11.725,85.286,194.619,3.561,2.439,587.656,-1360.744,60.0,28.245,14.089,-0.913,0.171,0.22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
57.0,58.0,5,141.041,69.668,17.841,2.967,-131.449,342.686,1939.494,123.963,26.683,41.266,85.533,189.533,4.287,9.28,579.311,-1284.221,60.0,34.317,41.28,-0.771,0.496,0.118,"[0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45]"
58.0,59.0,5,205.592,62.235,17.423,6.488,315.833,395.883,1946.682,131.585,59.686,85.573,76.034,185.966,5.109,13.652,529.113,-1261.668,60.0,22.924,52.07,-0.998,0.262,0.044,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4]"
59.0,60.0,5,247.692,47.51,9.467,2.193,698.265,575.972,2264.057,93.072,32.53,63.123,76.259,149.519,3.968,3.155,625.872,-1178.63,60.0,46.013,17.189,-0.938,0.186,0.078,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
60.0,61.0,5,260.352,47.101,1.296,1.635,798.68,580.329,2269.691,10.99,18.482,22.521,78.286,145.714,2.218,1.097,645.016,-1151.533,60.0,14.259,16.185,-0.934,0.248,0.098,"[0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
61.0,62.0,5,259.936,44.343,3.974,1.063,813.705,616.244,2322.664,26.673,12.716,25.497,72.571,143.571,2.47,1.05,612.996,-1160.932,60.0,19.577,17.768,-0.903,0.22,-0.068,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
62.0,63.0,5,251.167,43.238,1.55,2.443,729.989,614.281,2282.873,24.248,15.54,42.419,74.333,143.0,2.254,0.0,615.352,-1136.233,60.0,9.77,21.271,-0.927,0.069,-0.073,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
63.0,64.0,5,244.959,46.239,1.041,2.418,665.463,577.726,2233.724,8.278,18.066,14.737,80.652,148.652,2.098,5.49,650.871,-1156.6,60.0,15.696,47.979,-0.845,0.342,0.2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.95, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05]"
64.0,65.0,5,228.137,51.152,9.689,3.115,516.949,522.076,2161.904,77.095,27.454,28.415,71.621,154.793,9.023,0.804,556.768,-1166.175,60.0,70.488,13.138,-0.913,0.236,0.342,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7]"
65.0,66.0,5,183.364,51.085,12.146,1.76,186.642,549.978,2275.104,95.711,21.794,39.682,69.286,156.429,10.687,4.625,555.548,-1240.825,60.0,76.252,41.878,-0.851,0.222,0.317,"[0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4]"
66.0,67.0,5,144.515,56.124,11.608,1.348,-115.041,478.879,2137.436,85.844,15.518,25.443,95.897,162.655,4.188,4.459,712.991,-1212.423,60.0,27.611,26.027,-0.046,0.576,0.022,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
67.0,68.0,5,141.037,60.37,9.73,1.364,-138.57,433.365,2072.199,72.298,13.333,24.262,79.467,171.867,3.17,2.907,574.716,-1243.585,60.0,23.316,34.512,0.302,0.307,0.1,"[0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25]"
68.0,69.0,5,157.003,54.432,1.287,1.342,-22.121,487.548,2119.555,9.406,20.576,48.13,85.414,168.448,7.453,4.782,634.273,-1245.637,60.0,43.768,28.664,-1.005,0.337,0.161,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]"
69.0,70.0,5,176.367,53.913,8.573,1.111,126.944,511.512,2207.433,66.92,6.329,18.642,68.6,151.733,10.525,1.413,533.774,-1166.905,60.0,77.299,13.191,-0.935,0.286,0.157,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
70.0,71.0,5,186.518,50.188,0.681,1.745,215.583,567.628,2318.243,6.596,19.672,34.41,57.4,152.0,6.333,1.125,472.362,-1228.165,60.0,51.202,25.202,-0.907,0.178,0.245,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
71.0,72.0,5,180.917,54.826,4.565,3.837,164.444,512.482,2243.025,35.559,28.008,13.843,74.0,145.643,6.313,8.865,585.851,-1138.068,60.0,51.285,62.934,-0.947,0.208,0.093,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6]"
72.0,73.0,5,178.049,71.831,3.582,2.419,145.562,388.313,2299.286,28.827,18.457,19.0,80.111,121.519,1.37,1.032,647.997,-975.248,60.0,13.134,11.263,-0.897,0.171,-0.073,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
73.0,74.0,5,177.569,72.163,2.345,2.605,140.245,381.661,2275.364,19.189,20.398,13.186,79.4,121.0,1.386,0.0,635.897,-960.928,60.0,11.003,5.595,-0.862,-0.078,-0.322,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
74.0,75.0,5,178.954,69.405,2.648,1.328,151.936,405.461,2285.394,21.433,10.375,13.906,78.786,123.0,1.235,0.0,633.875,-981.002,60.0,9.889,5.998,-0.849,-0.08,-0.344,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
75.0,76.0,5,183.694,70.009,0.94,2.5,191.339,403.656,2302.83,7.708,19.503,10.004,79.071,123.857,1.646,1.959,641.343,-995.358,60.0,12.788,15.478,-0.809,0.055,-0.397,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
76.0,77.0,5,179.795,52.366,0.0,0.0,154.578,528.141,2226.844,0.0,0.0,0.0,65.0,151.0,0.0,0.0,512.306,-1171.449,60.0,0.0,0.0,-0.923,0.06,-0.274,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9, 0.0]"
77.0,78.0,5,179.725,50.637,0.24,0.397,154.653,543.841,2235.872,1.922,3.411,1.718,67.429,151.0,1.45,0.0,533.755,-1176.23,60.0,11.632,0.91,-0.903,0.213,0.022,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0]"
78.0,79.0,5,180.087,48.637,0.062,0.439,157.427,559.287,2234.956,0.421,3.242,2.112,77.857,151.0,4.969,0.0,615.721,-1175.745,60.0,38.553,1.118,-0.935,0.197,0.149,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
79.0,80.0,5,180.068,49.128,0.0,0.0,157.222,555.253,2234.199,0.0,0.0,0.0,65.0,151.0,0.0,0.0,513.982,-1175.344,60.0,0.0,0.0,-0.916,0.208,0.192,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
80.0,81.0,5,175.304,50.682,1.74,0.614,120.258,544.64,2240.582,13.808,5.732,4.951,63.429,151.071,0.821,0.371,502.158,-1179.294,60.0,6.641,4.315,-0.924,0.201,0.176,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
81.0,82.0,5,172.197,52.668,2.371,3.843,95.652,529.443,2241.015,17.33,35.303,24.451,71.214,152.5,6.997,2.044,561.855,-1191.004,60.0,51.668,20.496,-0.919,0.22,0.114,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0]"
82.0,83.0,5,177.647,105.24,0.822,15.97,141.388,116.006,2285.619,5.95,120.633,41.823,79.75,110.75,1.984,13.836,643.726,-884.186,60.0,24.378,88.937,-0.898,0.246,0.068,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
83.0,84.0,5,168.325,105.838,3.322,1.582,68.243,116.693,2347.52,26.461,14.008,25.45,75.267,123.6,4.218,7.027,622.112,-1015.999,60.0,37.498,64.426,-0.953,0.101,0.097,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0]"
84.0,85.0,5,172.218,107.697,1.663,1.108,98.857,99.58,2308.015,13.233,9.033,6.741,68.429,127.476,2.321,0.852,557.391,-1029.884,60.0,19.649,7.637,-0.829,0.471,-0.052,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
85.0,86.0,5,169.722,108.766,0.663,0.706,78.992,91.275,2317.007,5.391,5.761,3.28,73.6,127.067,1.943,0.629,600.907,-1030.618,60.0,15.335,5.31,-0.69,0.54,-0.207,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0]"
86.0,87.0,5,163.64,107.67,4.404,2.249,29.554,101.943,2353.011,35.946,19.854,31.844,89.0,124.154,7.125,1.935,736.315,-1022.751,60.0,66.213,19.332,-0.92,0.262,0.053,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
87.0,88.0,5,165.39,103.629,7.565,1.948,43.556,135.093,2350.63,61.418,17.294,33.916,71.214,119.714,12.04,10.68,589.814,-986.133,60.0,106.67,101.846,-0.892,0.306,0.009,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
88.0,89.0,5,176.26,67.82,1.692,15.889,124.791,397.481,2187.295,13.964,115.535,52.171,75.345,147.414,8.743,15.034,579.868,-1121.971,60.0,56.856,91.814,-0.892,0.347,-0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.45, 0.0]"
