start,end,location_idx,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_std_width,3d_shape_std_height,x_mean,y_mean,z_mean,x_average_jerk,x_average_absolute_value,x_median,x_std_dev,x_max_value,x_min_value,x_max_absolute_value,y_average_jerk,y_average_absolute_value,y_median,y_std_dev,y_max_value,y_min_value,y_max_absolute_value,z_average_jerk,z_average_absolute_value,z_median,z_std_dev,z_max_value,z_min_value,z_max_absolute_value,xy_corr,xz_corr,yz_corr,target_vector
47.0,48.0,5,0.81764,0.0,0.59427,0.0,0.96296,0.18418,0.21728,0.07721,0.91298,0.6493,0.26718,0.30431,0.06933,0.27784,0.37536,0.84563,0.15117,0.07597,0.27039,0.27164,0.13306,0.08096,0.16977,0.57633,0.27545,0.10969,0.67615,0.18501,0.15564,0.14353,0.42513,0.4187,0.11183,0.25558,0.61594,0.13013,0.36668,0.65258,0.17436,0.10524,0.29327,0.33855,0.17544,0.35622,0.50717,0.25098,0.6479,0.14904,0.17486,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
48.0,49.0,5,0.97795,0.0,0.74862,0.0,0.7237,0.26873,1.0,0.19802,0.6824,0.56467,0.22525,0.81358,0.16038,0.23629,0.68492,0.95141,0.25268,0.06417,0.41035,0.25739,0.23737,0.12601,0.09894,0.5917,0.4633,0.15671,0.81207,0.095,0.09982,0.07804,0.41688,0.43,0.03775,0.27624,0.61054,0.06006,0.34865,0.74733,0.15085,0.06263,0.06562,0.5198,0.07891,0.42043,0.65324,0.0978,0.58183,0.59242,0.94412,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49.0,50.0,5,0.9118,0.0,0.0,0.0,0.26166,0.42485,0.95324,0.20709,0.33381,0.44165,0.16447,0.55317,0.12322,0.2986,0.72297,0.87378,0.18456,0.20276,0.32875,0.41701,0.13294,0.28291,0.07579,0.66391,0.48743,0.20007,0.85649,0.05776,0.1603,0.09024,0.41083,0.4383,0.08297,0.40424,0.6893,0.06121,0.38189,0.80363,0.19419,0.0358,0.08967,0.53769,0.01982,0.38548,0.70087,0.05739,0.9039,0.76391,0.71427,"[0.0, 0.0, 0.8, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50.0,51.0,5,0.0,0.0,0.0,0.0,0.03149,0.49518,0.21599,0.20764,0.20629,0.40076,0.12186,0.10156,0.12049,0.11814,0.51708,0.57862,0.26714,0.32575,0.17172,0.66157,0.20562,0.24528,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51.0,52.0,5,0.0,0.0,0.0,0.0,0.01062,0.47072,0.09001,0.16276,0.20333,0.41916,0.11066,0.03844,0.09252,0.0797,0.47849,0.52205,0.06048,0.09004,0.14248,0.7065,0.05135,0.05928,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52.0,53.0,5,0.93385,0.0,0.0,0.0,0.0388,0.44089,0.22867,0.11508,0.20967,0.43545,0.12306,0.11644,0.06619,0.10212,0.57271,0.69134,0.34136,0.32287,0.198,0.59551,0.23428,0.24078,0.12653,0.5339,0.5201,0.93484,0.85628,0.16329,1.0,0.47803,0.001,1.0,0.17223,0.26441,0.55174,0.30344,0.39316,0.61962,0.20888,0.16331,0.15234,0.56076,0.12478,0.49522,0.66975,0.18426,0.0288,0.1832,0.9066,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
53.0,54.0,5,0.0,0.0,0.0,0.0,0.13189,0.42626,0.10752,0.07596,0.25395,0.44232,0.14226,0.07551,0.04096,0.11497,0.78051,0.88505,0.11443,0.03942,0.3228,0.45047,0.1062,0.07023,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6]"
54.0,55.0,5,0.0,0.0,0.0,0.0,0.22542,0.42277,0.40399,0.11655,0.3174,0.4455,0.13507,0.26737,0.06698,0.11436,0.61007,0.92057,0.28516,0.01361,0.24019,0.44168,0.22225,0.0555,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
55.0,56.0,5,0.0,0.0,0.0,0.0,0.44486,0.35124,0.81737,0.08544,0.4609,0.49327,0.12087,0.46231,0.04817,0.20509,0.60288,0.947,0.10106,0.07137,0.23047,0.45184,0.13721,0.13807,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
56.0,57.0,5,0.0,0.0,0.0,0.0,0.82463,0.30193,0.81862,0.14141,0.72562,0.52975,0.16863,0.65265,0.09317,0.39373,0.54762,1.0,0.62897,0.15061,0.26776,0.33158,0.3687,0.13621,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
57.0,58.0,5,0.0,0.0,0.0,0.0,0.99808,0.51132,0.16386,1.0,0.92907,0.34166,0.25241,0.26091,0.83748,0.26319,0.03526,0.52027,0.35091,1.0,0.04303,0.56536,0.30297,0.94816,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.444444444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.444444444444]"
58.0,59.0,5,0.93385,0.0,0.68688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34328,0.69154,0.73057,0.14097,0.3432,0.4014,0.34648,0.32202,0.45869,0.3727,0.14283,0.53524,0.60569,0.6141,0.6084,0.58873,0.48948,0.16989,0.52148,0.82769,0.35864,0.74558,0.67991,0.47372,0.02329,0.91448,0.0659,"[0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
59.0,60.0,5,0.8677,0.0,0.74862,0.0,0.89416,0.10066,0.0725,0.0114,0.87952,0.74499,0.3022,0.06558,0.01032,0.00785,0.34193,0.81827,0.10154,0.01531,0.2741,0.23865,0.10868,0.01449,0.74972,0.39258,0.84098,0.21529,0.43872,0.72464,0.20871,0.65138,0.78491,0.37572,0.27574,0.3008,0.34191,0.43667,0.61235,0.48917,0.49462,0.26039,0.71757,0.89831,0.3456,0.83662,0.7123,0.57897,0.73658,0.24013,0.53205,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
60.0,61.0,5,0.9559,0.0,0.80154,0.0,0.67121,0.08888,0.87035,0.04616,0.67723,0.7793,0.34389,0.76778,0.08102,0.35302,0.48009,0.75165,0.19905,0.06246,0.40183,0.23766,0.28019,0.08243,0.001,0.5886,0.57586,0.34039,1.0,0.01209,0.28697,0.08832,0.25075,0.6577,0.06844,0.27074,0.6278,0.0727,0.33738,0.71575,0.13616,0.1135,0.24673,0.57677,0.21612,0.63421,0.70849,0.34496,0.79376,0.19862,0.33111,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
61.0,62.0,5,0.77949,0.0,0.82359,0.0,0.36557,0.05869,0.56431,0.0881,0.34056,0.87575,0.45017,0.67124,0.13717,0.27827,0.44471,0.58094,0.50353,0.13264,0.45598,0.28199,0.67495,0.11911,0.08979,0.59574,0.55738,0.1642,0.82962,0.11407,0.23969,0.14931,0.31511,0.56949,0.06539,0.28341,0.61432,0.08317,0.35992,0.72605,0.16554,0.05466,0.21389,0.60548,0.066,0.46921,0.7104,0.15419,0.51158,0.67537,0.38743,"[0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
62.0,63.0,5,0.84564,0.0,0.88975,0.0,0.22257,0.03022,0.17679,0.02978,0.13725,0.94927,0.50687,0.27735,0.05007,0.23579,0.21659,0.55105,0.08095,0.03585,0.27471,0.25153,0.10332,0.106,0.21644,0.76401,0.56933,0.21228,0.58659,0.26483,0.28601,0.2026,0.32667,0.55365,0.14491,0.58168,0.85166,0.29047,0.51205,0.73497,0.36387,0.03534,0.23512,0.62008,0.08025,0.4749,0.72437,0.16076,0.68818,0.82537,0.90214,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
63.0,64.0,5,0.84564,0.0,0.0,0.0,0.18086,0.04256,0.05398,0.02936,0.07616,0.93779,0.5163,0.07316,0.03583,0.04428,0.27625,0.507,0.11233,0.10037,0.33925,0.29738,0.16525,0.15629,0.35278,0.85989,0.50651,0.04611,0.32497,0.34775,0.02746,0.22443,0.61932,0.15255,0.06988,0.75165,0.8851,0.04542,0.48557,0.94919,0.32935,0.06753,0.12355,0.55134,0.0345,0.41068,0.70913,0.08652,0.2418,0.2605,0.9547,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
64.0,65.0,5,0.0,0.0,0.0,0.0,0.17638,0.03547,0.02353,0.03926,0.0669,0.95149,0.5218,0.03237,0.04844,0.04048,0.31352,0.48815,0.0362,0.07789,0.38056,0.31601,0.05391,0.1193,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
65.0,66.0,5,0.0,0.0,0.0,0.0,0.17032,0.05971,0.04475,0.03183,0.05898,0.91607,0.52107,0.04673,0.04254,0.04514,0.29081,0.46453,0.04584,0.01483,0.35714,0.34718,0.06749,0.0286,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
66.0,67.0,5,0.0,0.0,0.0,0.0,0.19028,0.04878,0.09745,0.01996,0.08943,0.9284,0.51558,0.13526,0.01739,0.09259,0.23721,0.49509,0.11408,0.12262,0.29989,0.31355,0.17468,0.18582,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
67.0,68.0,5,0.0,0.0,0.0,0.0,0.21302,0.02558,0.02915,0.05534,0.11984,0.96268,0.51717,0.03886,0.06671,0.04866,0.28201,0.5826,0.33304,0.10203,0.34577,0.1994,0.48283,0.15823,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
68.0,69.0,5,0.0,0.0,0.0,0.0,0.22118,0.001,0.04754,0.03185,0.12967,1.0,0.52001,0.0603,0.04427,0.05056,0.18016,0.59671,0.04528,0.10576,0.24599,0.17771,0.06356,0.17279,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
69.0,70.0,5,0.0,0.0,0.0,0.0,0.24117,0.00665,0.05922,0.03826,0.16021,0.98711,0.51322,0.07836,0.05114,0.0164,0.20573,0.54837,0.09657,0.03951,0.26929,0.24826,0.14105,0.06604,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6]"
70.0,71.0,5,0.8677,0.0,0.0,0.0,0.19766,0.02452,0.01569,0.02892,0.12168,0.93536,0.47374,0.01285,0.0391,0.03495,0.33429,0.57457,0.29545,0.02843,0.36537,0.25992,0.39933,0.0497,0.96565,0.57973,0.49527,0.10789,0.85307,0.96364,0.09049,0.68091,0.9758,0.4104,0.0933,0.25503,0.60461,0.10108,0.34978,0.72673,0.15232,0.10847,0.10359,0.54334,0.05,0.40662,0.69579,0.08182,0.89037,0.60221,0.56186,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]"
71.0,72.0,5,0.0,0.0,0.0,0.0,0.1884,0.04062,0.04117,0.02437,0.11591,0.90653,0.4625,0.03516,0.02587,0.05326,0.34647,0.65601,0.20491,0.08952,0.3683,0.17671,0.28802,0.11725,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
72.0,73.0,5,0.0,0.0,0.0,0.0,0.1949,0.02869,0.11411,0.03302,0.12269,0.92414,0.46519,0.13214,0.04442,0.04476,0.29407,0.67551,0.069,0.001,0.32216,0.1497,0.10022,0.01531,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
73.0,74.0,5,0.0,0.0,0.0,0.0,0.24865,0.02304,0.0472,0.03341,0.1905,0.93251,0.46652,0.05594,0.04077,0.05069,0.33177,0.68065,0.05817,0.04317,0.36033,0.14161,0.08732,0.06943,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
