start,end,location_idx,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_std_width,3d_shape_std_height,x_mean,y_mean,z_mean,x_average_jerk,x_average_absolute_value,x_median,x_std_dev,x_max_value,x_min_value,x_max_absolute_value,y_average_jerk,y_average_absolute_value,y_median,y_std_dev,y_max_value,y_min_value,y_max_absolute_value,z_average_jerk,z_average_absolute_value,z_median,z_std_dev,z_max_value,z_min_value,z_max_absolute_value,xy_corr,xz_corr,yz_corr,target_vector
58.0,59.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14268,0.61186,0.45543,0.37468,0.79712,0.13782,0.62351,0.24374,0.24066,0.68034,0.32609,0.45824,0.5408,0.59678,0.45234,0.41063,0.35629,0.09878,0.13169,0.4423,0.13462,0.20873,0.60506,0.11891,0.05867,0.4321,0.3708,"[0.0, 0.0, 0.8, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
59.0,60.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06181,0.73178,0.49302,0.46873,0.88972,0.15573,0.6078,0.14801,0.21029,0.71597,0.27573,0.54579,0.65059,0.49664,0.45566,0.72151,0.36019,0.14891,0.24511,0.54966,0.21323,0.20918,0.52028,0.11941,0.03442,0.69066,0.30604,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
60.0,61.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35597,0.72571,0.49791,0.30137,0.38364,0.39254,0.39563,0.22571,0.43497,0.45243,0.42292,0.70699,0.61598,0.88249,0.65496,0.59455,0.59445,0.09809,0.19661,0.50559,0.13405,0.20738,0.59941,0.11741,0.05041,0.47595,0.43488,"[0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1]"
61.0,62.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12262,0.61212,0.5838,0.08166,0.77944,0.07065,0.09773,0.05027,0.58392,0.27771,0.09994,0.31745,0.58082,0.12757,0.2875,0.79205,0.16254,0.04657,0.32513,0.59317,0.09247,0.2218,0.67783,0.13346,0.65701,0.14197,0.38026,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
62.0,63.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13475,0.59138,0.5696,0.01165,0.75744,0.07961,0.01149,0.01061,0.63468,0.21817,0.01331,0.28096,0.58461,0.01509,0.21691,0.82862,0.07957,0.0113,0.30211,0.58074,0.01794,0.18124,0.73859,0.08831,0.55686,0.68845,0.62941,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
63.0,64.0,5,0.02463,0.24605,0.0043,0.00547,0.00153,0.63789,0.32557,0.00613,0.00663,0.00843,0.001,0.03887,0.001,0.001,0.00103,0.94438,0.00116,0.00149,0.13786,0.58096,0.57548,0.04029,0.75181,0.07762,0.03311,0.02583,0.62303,0.23184,0.12123,0.27793,0.58731,0.13664,0.25303,0.71577,0.12203,0.05004,0.31164,0.57735,0.05543,0.20828,0.71598,0.11841,0.05032,0.60178,0.27433,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
64.0,65.0,5,0.02476,0.24593,0.00404,0.0064,0.00201,0.63789,0.3252,0.00638,0.00736,0.00996,0.001,0.03887,0.001,0.001,0.001,0.9445,0.00119,0.00159,0.1199,0.57505,0.53934,0.05401,0.78438,0.06468,0.04946,0.01822,0.60306,0.25526,0.07032,0.25222,0.57054,0.0943,0.23643,0.77533,0.10251,0.0434,0.25304,0.5474,0.10552,0.19927,0.67925,0.10838,0.48582,0.76736,0.28541,"[0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
65.0,66.0,5,0.02429,0.23798,0.03323,0.16076,0.00232,0.64585,0.32433,0.00865,0.18388,0.0594,0.00509,0.04988,0.07916,0.1937,0.00457,0.93191,0.07258,0.23109,0.09095,0.6212,0.58113,0.10789,0.83688,0.03185,0.12963,0.05347,0.55397,0.31285,0.09395,0.33967,0.62409,0.27621,0.30867,0.74764,0.18743,0.03766,0.32079,0.62085,0.09732,0.20693,0.69832,0.11691,0.08499,0.71244,0.14865,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
66.0,67.0,5,0.02018,0.19824,0.05893,0.29071,0.001,0.68632,0.32091,0.0074,0.33311,0.10867,0.02965,0.12356,0.09603,0.40696,0.02649,0.8458,0.08645,0.48865,0.45677,0.48973,0.9116,0.12962,0.27258,0.40597,0.26756,0.25375,0.62137,0.23379,0.1331,0.17015,0.44939,0.25966,0.31905,0.6886,0.19963,0.10621,0.85667,0.89716,0.28538,0.42142,0.73859,0.35574,0.1539,0.96835,0.1984,"[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8]"
67.0,68.0,5,0.02387,0.24104,0.0033,0.0078,0.00208,0.64276,0.32405,0.00745,0.00924,0.01157,0.01635,0.03887,0.001,0.001,0.01501,0.94487,0.00129,0.0017,0.80701,0.81055,0.6633,0.18592,0.46368,0.77264,0.21296,0.39916,0.84938,0.26795,0.26708,0.66662,0.70089,0.52308,0.56486,0.77637,0.48854,0.12652,0.47724,0.66267,0.38527,0.34346,0.5768,0.26894,0.803,0.20016,0.05613,"[0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
68.0,69.0,5,0.02143,0.20186,0.05686,0.31253,0.00238,0.68241,0.32091,0.00614,0.35856,0.1068,0.02905,0.11117,0.10112,0.37334,0.02596,0.86046,0.0914,0.44836,0.67321,0.71444,0.70645,0.16169,0.39538,0.61692,0.41429,0.37112,0.63011,0.23379,0.28325,0.50223,0.6176,0.43918,0.42867,0.74764,0.32847,0.097,0.524,0.71917,0.17677,0.29345,0.74354,0.21324,0.05266,0.91151,0.1024,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
69.0,70.0,5,0.03497,0.23343,0.33198,0.07754,0.02305,0.64596,0.31207,0.57699,0.07858,0.52995,0.08344,0.11537,0.69348,0.75766,0.064,0.87433,0.53367,0.74494,0.11082,0.74908,0.66126,0.17088,0.80084,0.03483,0.25356,0.15602,0.51277,0.36117,0.127,0.55846,0.7393,0.14766,0.35435,0.84534,0.24111,0.08303,0.45072,0.64628,0.172,0.28984,0.7068,0.20923,0.37735,0.59194,0.32857,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
70.0,71.0,5,0.07093,0.12415,0.13832,0.1381,0.11221,0.72938,0.25435,0.21798,0.18744,0.30524,0.53883,0.76261,0.09524,0.05339,0.42951,0.19702,0.06849,0.08292,0.70875,0.52707,0.90212,0.10822,0.28549,0.69702,0.13617,0.29141,0.82483,0.13667,0.19687,0.29694,0.55378,0.34115,0.29912,0.61493,0.1762,0.12345,0.84128,0.92824,0.15933,0.35788,0.81772,0.28499,0.29171,0.61884,0.37191,"[0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
71.0,72.0,5,0.07591,0.10856,0.03163,0.03204,0.09165,0.76146,0.28546,0.04924,0.0347,0.04926,0.52867,0.73516,0.02734,0.01754,0.45293,0.16668,0.01902,0.0199,0.78055,0.72517,0.80069,0.09571,0.41569,0.74925,0.13749,0.32265,0.85687,0.17474,0.15495,0.51638,0.69332,0.20902,0.37884,0.8119,0.26991,0.10155,0.67681,0.78924,0.16766,0.32769,0.76261,0.25138,0.16828,0.84204,0.21543,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
72.0,73.0,5,0.07419,0.10088,0.03563,0.04264,0.08882,0.76995,0.28676,0.03077,0.05115,0.03337,0.52721,0.72301,0.05094,0.01818,0.45313,0.1781,0.04777,0.02843,0.70216,0.80179,0.78207,0.04687,0.27353,0.66219,0.06831,0.27298,0.85937,0.11422,0.15439,0.65121,0.79122,0.15438,0.35601,0.86886,0.24306,0.06272,0.64662,0.77794,0.11311,0.2966,0.80288,0.21676,0.57228,0.43467,0.22527,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
73.0,74.0,5,0.05485,0.12169,0.07164,0.0399,0.08981,0.73514,0.26254,0.01979,0.0448,0.10975,0.52291,0.73048,0.001,0.07766,0.42503,0.21576,0.02579,0.07165,0.73925,0.58864,0.84429,0.10414,0.3408,0.69801,0.06702,0.29541,0.87434,0.14155,0.19432,0.4806,0.6414,0.53003,0.34064,0.60082,0.22501,0.10879,0.74751,0.82766,0.1717,0.3678,0.84033,0.29603,0.24972,0.56672,0.18813,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
74.0,75.0,5,0.05721,0.10757,0.06616,0.02976,0.08912,0.75062,0.26603,0.02102,0.02662,0.09039,0.51495,0.77408,0.06947,0.05582,0.42193,0.16194,0.05278,0.05062,0.67613,0.50846,0.86739,0.09861,0.24346,0.63383,0.19512,0.31905,0.78489,0.17035,0.16814,0.31234,0.52836,0.36162,0.29912,0.60709,0.1762,0.07182,0.78497,0.87456,0.07128,0.32273,0.87989,0.24586,0.31586,0.5313,0.34149,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1]"
75.0,76.0,5,0.04127,0.12262,0.16069,0.03958,0.0796,0.7326,0.2593,0.06024,0.06801,0.18724,0.52291,0.74893,0.08705,0.01975,0.42155,0.20141,0.0463,0.08089,0.10586,0.6303,0.5621,0.09738,0.80984,0.08657,0.13447,0.02543,0.53275,0.33774,0.06539,0.34944,0.62571,0.07637,0.25802,0.82079,0.12789,0.06071,0.28994,0.57283,0.11758,0.24343,0.6849,0.15755,0.20863,0.82191,0.41458,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6]"
76.0,77.0,5,0.02944,0.15175,0.07086,0.03455,0.10837,0.68194,0.21487,0.07021,0.03506,0.02622,0.46955,0.8007,0.09086,0.02146,0.33798,0.23639,0.06951,0.01759,0.1337,0.63743,0.49791,0.05093,0.75935,0.07811,0.04284,0.02744,0.61513,0.24111,0.0325,0.36199,0.6441,0.07307,0.24681,0.82131,0.11471,0.02171,0.18585,0.50276,0.09691,0.18124,0.66582,0.08831,0.44932,0.66777,0.12501,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9]"
77.0,78.0,5,0.06615,0.12813,0.28193,0.15609,0.09815,0.73325,0.26711,0.13535,0.21773,0.33631,0.52614,0.72542,0.22754,0.15849,0.43254,0.214,0.18755,0.08687,0.12611,0.55845,0.52683,0.09395,0.77312,0.08707,0.10443,0.03385,0.56354,0.30163,0.06444,0.22338,0.56027,0.10566,0.22688,0.75704,0.09129,0.04429,0.23502,0.54853,0.1447,0.19611,0.6312,0.10486,0.70645,0.80009,0.87908,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1]"
78.0,79.0,5,0.12937,0.0574,0.05686,0.07599,0.14318,0.81594,0.29067,0.07008,0.07718,0.06807,0.45575,0.62586,0.13691,0.04394,0.39759,0.28279,0.11363,0.07279,0.12912,0.49118,0.57246,0.1283,0.76766,0.07612,0.13533,0.05628,0.57851,0.28406,0.07076,0.15152,0.49428,0.14968,0.20985,0.71263,0.07128,0.0546,0.30673,0.59938,0.12331,0.21774,0.65593,0.12895,0.15914,0.57422,0.31883,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
79.0,80.0,5,0.14357,0.06545,0.06875,0.05821,0.15521,0.81082,0.29484,0.05563,0.06452,0.04812,0.41436,0.62093,0.12265,0.02334,0.36556,0.28173,0.10541,0.03946,0.10791,0.47065,0.57263,0.08298,0.80613,0.04777,0.06919,0.04226,0.59183,0.26844,0.05635,0.08269,0.4456,0.09509,0.20155,0.74241,0.06152,0.02646,0.30701,0.57113,0.05869,0.20513,0.72446,0.1149,0.4469,0.66404,0.28385,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
80.0,81.0,5,0.17686,0.09351,0.10494,0.03228,0.18685,0.78594,0.30039,0.10171,0.0396,0.03506,0.35278,0.62327,0.04792,0.02247,0.31683,0.26991,0.04277,0.03254,0.10069,0.49677,0.49593,0.0832,0.81921,0.03732,0.06049,0.02463,0.59349,0.26649,0.05812,0.11578,0.48779,0.07172,0.19656,0.75443,0.05566,0.02676,0.18264,0.50841,0.04261,0.16908,0.67925,0.07476,0.58348,0.62318,0.63408,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
81.0,82.0,5,0.18574,0.07638,0.04401,0.02427,0.19411,0.80592,0.30402,0.04972,0.03077,0.01896,0.37453,0.61656,0.05951,0.03215,0.33938,0.27191,0.05476,0.03614,0.1177,0.49515,0.53451,0.04292,0.78837,0.06219,0.03892,0.01662,0.61263,0.24404,0.02884,0.11162,0.4813,0.04935,0.19698,0.77219,0.05615,0.01715,0.24521,0.54796,0.02071,0.17088,0.7174,0.07677,0.52734,0.73443,0.82941,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
82.0,83.0,5,0.16645,0.08399,0.11724,0.01867,0.17758,0.79386,0.29761,0.09897,0.02342,0.06088,0.39834,0.65141,0.13963,0.04022,0.35445,0.2416,0.11835,0.04155,0.11049,0.52626,0.4886,0.04973,0.80145,0.05274,0.04511,0.01382,0.59474,0.26502,0.03671,0.16637,0.50293,0.09766,0.22106,0.76592,0.08445,0.03191,0.17076,0.51011,0.0619,0.16367,0.65664,0.06874,0.68671,0.75935,0.8436,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9]"
83.0,84.0,5,0.20193,0.06182,0.28089,0.10046,0.21221,0.82088,0.30346,0.25083,0.13799,0.14191,0.33989,0.64426,0.21123,0.13261,0.30842,0.241,0.17669,0.13888,0.16189,0.65935,0.47946,0.10021,0.70824,0.09005,0.22574,0.11917,0.55064,0.31676,0.10759,0.40056,0.63869,0.2355,0.36556,0.78108,0.25429,0.07164,0.20425,0.51689,0.18371,0.19837,0.53724,0.10737,0.94121,0.15197,0.11008,"[0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8]"
84.0,85.0,5,0.29671,0.01636,0.3296,0.04842,0.3022,0.89186,0.33426,0.35272,0.07807,0.10067,0.30085,0.5329,0.05309,0.06352,0.29671,0.32906,0.05639,0.05934,0.35115,0.84483,0.64974,0.09395,0.36501,0.30647,0.10594,0.1428,0.65674,0.19231,0.17037,0.72694,0.83503,0.18866,0.40708,0.88139,0.30309,0.10017,0.43204,0.67566,0.19887,0.28353,0.66441,0.2022,0.49105,0.11147,0.27957,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
85.0,86.0,5,0.43569,0.0354,0.39032,0.038,0.46133,0.84478,0.29925,0.40952,0.07629,0.19065,0.40488,0.65001,0.23981,0.2239,0.37186,0.24326,0.20257,0.21873,0.2837,0.8473,0.55826,0.09911,0.48733,0.2617,0.11349,0.10955,0.63968,0.21232,0.10825,0.73129,0.83828,0.16388,0.37261,0.86833,0.26258,0.06262,0.28371,0.57509,0.11,0.23982,0.66512,0.15353,0.36126,0.40441,0.72705,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
86.0,87.0,5,0.53971,0.05881,0.08675,0.01832,0.5672,0.79432,0.26179,0.07645,0.03033,0.0791,0.46049,0.72328,0.03801,0.03665,0.39347,0.22597,0.0366,0.03817,0.25743,0.78723,0.59538,0.07749,0.53498,0.20995,0.07839,0.08031,0.63968,0.21232,0.07809,0.62559,0.78906,0.09871,0.31739,0.86415,0.19768,0.03557,0.34391,0.60108,0.05778,0.20377,0.73647,0.11339,0.36873,0.62923,0.67882,"[0.0, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
